reg,dis,con,ward
DODOMA,KONDOA,KONDOA KUSINI,PARANGA
DODOMA,MPWAPWA,MPWAPWA,MATOMONDO
DODOMA,MPWAPWA,NA,LUMUMA
DODOMA,KONGWA,KONGWA,UGOGONI
DODOMA,KONGWA,KONGWA,KONGWA
DODOMA,DODOMA RURAL,MTERA,MVUMI MISSION
DODOMA,DODOMA RURAL,BAHI,CHIBELELA
DODOMA,DODOMA RURAL,BAHI,BAHI
DODOMA,DODOMA URBAN,DODOMA MJINI,CHILANGA
DODOMA,DODOMA URBAN,DODOMA MJINI,HOMBOLO
DODOMA,DODOMA URBAN,DODOMA MJINI,NALA
ARUSHA,MONDULI,MONDULI,SELELA
ARUSHA,MONDULI,MONDULI,ENGARUKA
ARUSHA,ARUMERU,ARUMERU MASHARIKI,MAJIYA CHAI
ARUSHA,ARUMERU,ARUMERU MASHARIKI,KIKWE
ARUSHA,ARUMERU,ARUMERU MAGHARIBI,KIRANYI
ARUSHA,ARUSHA,ARUSHA  MJINI,TERRAT
ARUSHA,ARUSHA,ARUSHA  MJINI,DARAJA MBILI
ARUSHA,ARUSHA,ARUSHA  MJINI,SOMBETINI
ARUSHA,KARATU,KARATU,RHOTIA
ARUSHA,KARATU,KARATU,GANAKO
ARUSHA,NGORONGORO,NGORONGORO,DIGODIGO
ARUSHA,NGORONGORO,NGORONGORO,NGORONGORO
KILIMANJARO,ROMBO,ROMBO,KELAMFUA MOKALA
KILIMANJARO,ROMBO,ROMBO,OLELE
KILIMANJARO,ROMBO,ROMBO,KIRONGO SAMANGA
KILIMANJARO,MWANGA,MWANGA,MSANGENI
KILIMANJARO,MWANGA,MWANGA,KWAKOA
KILIMANJARO,SAME,SAME MASHARIKI,NDUNGU
KILIMANJARO,SAME,SAME MAGHARIBI,MAKANYA
KILIMANJARO,MOSHI RURAL,VUNJO,MWIKA KUSINI
KILIMANJARO,MOSHI RURAL,MOSHI VIJIJINI,KIMOCHI
KILIMANJARO,MOSHI RURAL,VUNJO,KIRUA VUNJO MASHARIKI
KILIMANJARO,HAI,HAI,MASAMA MASHARIKI
KILIMANJARO,HAI,SIHA,SIHA KATI
KILIMANJARO,HAI,HAI,HAI MJINI
TANGA,KOROGWE,KOROGWE VIJIJINI,MASHEWA
TANGA,LUSHOTO,LUSHOTO,LUSHOTO
TANGA,KOROGWE,KOROGWE VIJIJINI,KERENGE
TANGA,KOROGWE,KOROGWE MJINI,KOROGWE
