REGNAME_LSMS,DISNAME_LSMS,REGNAME_POL,DISNAME_POL
DODOMA,KONDOA,,
DODOMA,MPWAPWA,,
DODOMA,KONGWA,,
DODOMA,DODOMA RURAL,,
DODOMA,DODOMA URBAN,,
ARUSHA,MONDULI,,
ARUSHA,ARUMERU,,
ARUSHA,ARUSHA,,
ARUSHA,KARATU,,
ARUSHA,NGORONGORO,,
KILIMANJARO,ROMBO,,
KILIMANJARO,MWANGA,,
KILIMANJARO,SAME,,
KILIMANJARO,MOSHI RURAL,,
KILIMANJARO,HAI,,
TANGA,LUSHOTO,,
TANGA,KOROGWE,,
TANGA,MUHEZA,,
TANGA,TANGA URBAN,,
TANGA,PANGANI,,
TANGA,HANDENI,,
TANGA,KILINDI,,
MOROGORO,KILOSA,,
MOROGORO,MOROGORO RURAL,,
MOROGORO,KILOMBERO,,
MOROGORO,ULANGA,,
MOROGORO,MOROGORO URBAN,,
MOROGORO,MVOMERO,,
PWANI,BAGAMOYO,,
PWANI,KIBAHA,,
PWANI,KISARAWE,,
PWANI,MKURANGA,,
PWANI,RUFIJI,,
PWANI,MAFIA,,
DAR-ES-SALAAM,KINONDONI,,
DAR-ES-SALAAM,ILALA,,
DAR-ES-SALAAM,TEMEKE,,
LINDI,KILWA,,
LINDI,LINDI RURAL,,
LINDI,NACHINGWEA,,
LINDI,LIWALE,,
LINDI,RUANGWA,,
LINDI,LINDI URBAN,,
MTWARA,MTWARA RURAL,,
MTWARA,NEWALA,,
MTWARA,MASASI,,
MTWARA,TANDAHIMBA,,
MTWARA,MTWARA MIKINDANI,,
RUVUMA,TUNDURU,,
RUVUMA,SONGEA RURAL,,
RUVUMA,MBINGA,,
RUVUMA,NAMTUMBO,,
IRINGA,IRINGA RURAL,,
IRINGA,MUFINDI,,
IRINGA,MAKETE,,
IRINGA,NJOMBE,,
IRINGA,LUDEWA,,
IRINGA,IRINGA URBAN,,
IRINGA,KILOLO,,
MBEYA,CHUNYA,,
MBEYA,MBEYA RURAL,,
MBEYA,KYELA,,
MBEYA,RUNGWE,,
MBEYA,ILEJE,,
MBEYA,MBOZI,,
MBEYA,MBALALI,,
MBEYA,MBEYA URBAN,,
SINGIDA,IRAMBA,,
SINGIDA,SINGIDA RURAL,,
SINGIDA,MANYONI,,
SINGIDA,SINGIDA URBAN,,
TABORA,NZEGA,,
TABORA,IGUNGA,,
TABORA,UYUI,,
TABORA,URAMBA,,
TABORA,SIKONGE,,
TABORA,TABORA URBAN,,
RUKWA,MPANDA,,
RUKWA,SUMBAWANGA,,
RUKWA,NKASI,,
RUKWA,SUMBAWANGA URBAN,,
KIGOMA,KIBONDO,,
KIGOMA,KASULU,,
KIGOMA,KIGOMA RURAL,,
SHINYANGA,BARIADI,,
SHINYANGA,MASWA,,
SHINYANGA,SHINYANGA RURAL,,
SHINYANGA,KAHAMA,,
SHINYANGA,BUKOMBE,,
SHINYANGA,MEATU,,
SHINYANGA,SHINYANGA URBAN,,
SHINYANGA,KISHAPU,,
KAGERA,KARAGWE,,
KAGERA,BUKOBA RURAL,,
KAGERA,MULEBA,,
KAGERA,BIHARAMULO,,
KAGERA,NGARA,,
KAGERA,BUKOBA URBAN,,
MWANZA,UKEREWE,,
MWANZA,MAGU,,
MWANZA,NYAMAGANA,,
MWANZA,KWIMBA,,
MWANZA,SENGEREMA,,
MWANZA,GEITA,,
MWANZA,MISUNGWI,,
MWANZA,ILEMELA,,
MARA,TARIME,,
MARA,SENGEREMA,,
MARA,MUSOMA RURAL,,
MARA,BUNDA,,
MARA,MUSOMA URBAN,,
MANYARA,BABATI,,
MANYARA,HANANG,,
MANYARA,MBULU,,
MANYARA,SIMANJIRO,,
MANYARA,KITETO,,
KASKAZINI-UNGUJA,KASKAZINI ‘A’,,
KASKAZINI-UNGUJA,KASKAZINI ‘B’,,
KUSINI-UNGUJA,KATI,,
KUSINI-UNGUJA,KUSINI,,
MJINI/MAGHARIBI-UNGUJA,MAGHARIBI,,
MJINI/MAGHARIBI-UNGUJA,MJINI,,
KASKAZINI-PEMBA,WETE,,
KASKAZINI-PEMBA,MICHWEWENI,,
KUSINI-PEMBA,CHAKECHAKE,,
KUSINI-PEMBA,MKOANI,,
KILIMANJARO,MOSHI URBAN,,
RUVUMA,SONGEA URBAN,,
KIGOMA,KIGOMA URBAN,,
TANGA,MKINGA,,
KAGERA,MISENYE,,
KAGERA,CHATO,,
